DoctorID,Date,Day,Time,Activity,Location,Notes
6,2025-07-05,Saturday,08:00-09:00,Administrative Tasks,Office 1103,Weekend coverage
6,2025-07-05,Saturday,09:00-12:00,On-call Coverage,Hospital,Emergency consultations
6,2025-07-05,Saturday,12:00-13:00,Lunch Break,,
6,2025-07-05,Saturday,13:00-17:00,On-call Coverage,Hospital,Emergency consultations
6,2025-07-06,Sunday,08:00-09:00,Administrative Tasks,Home Office,Chart review
6,2025-07-06,Sunday,09:00-12:00,On-call Coverage,Hospital,Emergency consultations
6,2025-07-06,Sunday,12:00-13:00,Lunch Break,,
6,2025-07-06,Sunday,13:00-17:00,On-call Coverage,Hospital,Emergency consultations
6,2025-07-07,Monday,08:00-09:00,Morning Rounds,Hospital,Inpatient consultations
6,2025-07-07,Monday,09:00-12:00,Outpatient Clinic,Office 1103,Scheduled appointments
6,2025-07-07,Monday,12:00-13:00,Lunch Break,,
6,2025-07-07,Monday,13:00-15:00,Cardiac Catheterization,Cath Lab,Procedures
6,2025-07-07,Monday,15:00-16:00,Documentation,Office 1103,Patient notes
6,2025-07-07,Monday,16:00-17:00,Multidisciplinary Team Meeting,Conference Room,Case discussions
6,2025-07-08,Tuesday,08:00-09:00,Morning Rounds,Hospital,Inpatient consultations
6,2025-07-08,Tuesday,09:00-12:00,Outpatient Clinic,Office 1103,Scheduled appointments
6,2025-07-08,Tuesday,12:00-13:00,Lunch Break,,
6,2025-07-08,Tuesday,13:00-15:00,Echocardiography,Echo Lab,Diagnostic procedures
6,2025-07-08,Tuesday,15:00-16:00,Documentation,Office 1103,Patient notes
6,2025-07-08,Tuesday,16:00-17:00,Consultation Calls,Office 1103,Referring physicians
6,2025-07-09,Wednesday,08:00-09:00,Morning Rounds,Hospital,Inpatient consultations
6,2025-07-09,Wednesday,09:00-12:00,Outpatient Clinic,Office 1103,Scheduled appointments
6,2025-07-09,Wednesday,12:00-13:00,Lunch Break,,
6,2025-07-09,Wednesday,13:00-15:00,Cardiac Surgery Consultation,OR,Pre/post-operative care
6,2025-07-09,Wednesday,15:00-16:00,Documentation,Office 1103,Patient notes
6,2025-07-09,Wednesday,16:00-17:00,Research Activities,Office 1103,Clinical studies
6,2025-07-10,Thursday,08:00-09:00,Morning Rounds,Hospital,Inpatient consultations
6,2025-07-10,Thursday,09:00-12:00,Outpatient Clinic,Office 1103,Scheduled appointments
6,2025-07-10,Thursday,12:00-13:00,Lunch Break,,
6,2025-07-10,Thursday,13:00-15:00,Cardiac Catheterization,Cath Lab,Procedures
6,2025-07-10,Thursday,15:00-16:00,Documentation,Office 1103,Patient notes
6,2025-07-10,Thursday,16:00-17:00,Continuing Education,Office 1103,Medical journals
6,2025-07-11,Friday,08:00-09:00,Morning Rounds,Hospital,Inpatient consultations
6,2025-07-11,Friday,09:00-12:00,Outpatient Clinic,Office 1103,Scheduled appointments
6,2025-07-11,Friday,12:00-13:00,Lunch Break,,
6,2025-07-11,Friday,13:00-15:00,Echocardiography,Echo Lab,Diagnostic procedures
